p1,p2,attribute_score,transaction_score,substitution_score
P0001,P0002,0.07320854839044,0.3977056840468254,0.20300740265299416
P0001,P0003,0.0649980308023962,0.7308833955079164,0.33135217668460426
P0001,P0004,0.0865908007379309,0.7423884168117674,0.3489098471674655
P0001,P0006,0.4472348319963518,0.3956895626169767,0.42661672424460173
P0001,P0010,0.0734054681508198,0.7640766717250259,0.34967394958050224
P0001,P0012,0.0835748191447463,0.766135232047698,0.35659898430592696
P0001,P0018,0.0830400265323466,0.3538891606024255,0.19137968016037815
P0001,P0021,0.0996952925813071,0.3681840606271011,0.2070907997996247
P0001,P0022,0.0709180606512862,0.7582388631361967,0.34584638164525044
P0001,P0023,0.0901395021039321,0.777721793813688,0.36517241878783446
P0001,P0024,0.0739796447152954,0.7448560040735224,0.3423301884585862
P0001,P0025,0.4194753643015567,0.2757117686722051,0.36196992604981604
P0001,P0027,0.6397249341873433,0.7401213050097708,0.6798834825163144
P0001,P0028,0.1330047882594366,0.7527853347084744,0.3809170068390518
P0001,P0030,0.120323155690981,0.7656280017638488,0.37844509412012817
P0001,P0032,0.7201863482785068,0.7645812208765792,0.7379442973177357
P0001,P0033,0.5688721679829198,0.7435460458207294,0.6387417191180436
P0001,P0034,0.4046421242460046,0.759589855298261,0.5466212166669071
P0001,P0035,0.1385226872292353,0.3080506763951688,0.20633388289560872
P0001,P0040,0.0896026366519495,0.3564300998678844,0.19633362193832346
P0001,P0043,0.0630267603590158,0.7511902950284475,0.3382921742267885
P0001,P0044,0.0767510312376925,0.3952035076728021,0.20413202181173634
P0001,P0045,0.2684182161142549,0.3952740988941823,0.3191605692262259
P0001,P0046,0.0917625354973778,0.7354039714946743,0.3492191098962964
P0001,P0047,0.1122390813174968,0.7444844352577468,0.3651372228935968
P0001,P0049,0.8858445784880709,0.7219480741513821,0.8202859767533954
P0001,P0050,0.1094013639284455,0.7303065628933112,0.3577634435143918
P0001,P0055,0.6837634475467944,0.3675930576567424,0.5572952915907736
P0001,P0056,0.1433897145699894,0.7471427227180889,0.3848909178292292
P0001,P0057,0.5958947412059781,0.7663983172414359,0.6640961716201612
P0001,P0059,0.5955620504529154,0.7545387577421387,0.6591527333686047
P0001,P0060,0.2329550401094459,0.3698297288961981,0.2877049156241468
P0001,P0065,0.3465497585141885,0.7407623950915492,0.5042348131451327
P0001,P0071,0.0714922372157618,0.7573286323680576,0.34582679527668014
