product1,product2,correlation,Yulephi
P1000,P1001,,-0.006666666666666667
P1000,P1002,-0.025401664269956253,-0.011624763874381928
P1000,P1003,-0.025401664269956253,-0.011624763874381928
P1000,P1005,-0.019518001458970667,-0.009459675396808042
P1000,P1006,-0.019518001458970667,-0.009459675396808042
P1000,P1007,-0.013719241215239542,-0.006666666666666667
P1000,P1010,0.5582808873668019,0.7047458170621991
P1000,P1011,-0.017781887844631156,-0.009459675396808042
P1000,P1012,-0.026695805265780387,-0.011624763874381928
P1000,P1013,-0.013719241215239542,-0.006666666666666667
P1000,P1014,-0.011179641181758961,-0.006666666666666667
P1000,P1016,-0.022628141110071023,-0.011624763874381928
P1000,P1017,-0.017781887844631156,-0.009459675396808042
P1000,P1018,-0.015873015873015876,-0.006666666666666667
P1000,P1019,-0.015873015873015876,-0.006666666666666667
P1000,P1020,-0.007889684472185849,-0.006666666666666667
P1000,P1021,-0.022628141110071023,-0.009459675396808042
P1000,P1022,-0.015873015873015876,-0.006666666666666667
P1000,P1027,-0.021124141684149264,-0.009459675396808042
P1000,P1028,-0.019518001458970667,-0.009459675396808042
P1000,P1029,-0.017781887844631156,-0.009459675396808042
P1000,P1031,0.2380952380952381,-0.006666666666666667
P1000,P1032,-0.011179641181758961,-0.006666666666666667
P1000,P1033,-0.022628141110071023,-0.009459675396808042
P1000,P1037,-0.013719241215239542,-0.009459675396808042
P1000,P1038,0.27895790470987064,-0.006666666666666667
P1000,P1040,0.46231028971320387,0.49497474683058323
P1000,P1041,-0.013719241215239542,-0.009459675396808042
P1000,P1042,-0.013719241215239542,-0.006666666666666667
P1000,P1043,0.17201086799950116,-0.009459675396808042
P1000,P1045,-0.021124141684149264,-0.011624763874381928
P1000,P1046,-0.013719241215239542,-0.009459675396808042
P1000,P1047,-0.011179641181758961,-0.006666666666666667
P1000,P1048,-0.02793993781135563,-0.011624763874381928
P1000,P1050,-0.02404930351219409,-0.011624763874381928
P1000,P1051,-0.011179641181758961,-0.006666666666666667
P1000,P1052,-0.015873015873015876,-0.006666666666666667
P1000,P1053,-0.011179641181758961,-0.006666666666666667
P1000,P1054,-0.011179641181758961,-0.006666666666666667
P1000,P1055,-0.011179641181758961,-0.006666666666666667
P1000,P1056,-0.017781887844631156,-0.009459675396808042
P1000,P1057,-0.011179641181758961,-0.009459675396808042
P1000,P1058,0.5950425377376846,0.5734883511361751
P1000,P1061,-0.021124141684149264,-0.009459675396808042
P1000,P1062,-0.013719241215239542,-0.006666666666666667
P1000,P1063,0.13716898705776376,-0.011624763874381928
P1000,P1064,-0.011179641181758961,-0.006666666666666667
P1000,P1065,-0.015873015873015876,-0.009459675396808042
P1000,P1066,-0.019518001458970667,-0.013468700594029477
P1000,P1067,-0.011179641181758961,-0.006666666666666667
P1000,P1068,-0.021124141684149264,-0.011624763874381928
P1000,P1069,-0.011179641181758961,-0.006666666666666667
P1000,P1070,-0.015873015873015876,-0.009459675396808042
P1000,P1071,-0.022628141110071023,-0.011624763874381928
P1000,P1072,-0.02404930351219409,-0.011624763874381928
P1000,P1074,-0.015873015873015876,-0.006666666666666667
P1000,P1075,-0.021124141684149264,-0.009459675396808042
P1000,P1077,-0.011179641181758961,-0.006666666666666667
P1000,P1079,-0.007889684472185849,-0.006666666666666667
P1000,P1080,-0.007889684472185849,-0.006666666666666667
P1000,P1082,-0.017781887844631156,-0.009459675396808042
P1000,P1084,-0.007889684472185849,-0.006666666666666667
P1000,P1086,0.27895790470987064,-0.006666666666666667
P1000,P1087,-0.013719241215239542,-0.006666666666666667
P1000,P1088,-0.021124141684149264,-0.013468700594029477
P1000,P1091,-0.013719241215239542,-0.006666666666666667
P1000,P1092,-0.013719241215239542,-0.006666666666666667
P1000,P1093,-0.030303030303030304,-0.015109947130387488
P1000,P1095,,-0.006666666666666667
P1000,P1096,-0.022628141110071023,-0.011624763874381928
P1000,P1097,-0.007889684472185849,-0.006666666666666667
P1000,P1098,-0.021124141684149264,-0.011624763874381928
P1000,P1100,-0.015873015873015876,-0.006666666666666667
P1000,P1101,,-0.006666666666666667
P1000,P1102,-0.011179641181758961,-0.006666666666666667
P1000,P1103,-0.017781887844631156,-0.009459675396808042
P1000,P1105,-0.017781887844631156,-0.009459675396808042
P1000,P1106,-0.011179641181758961,-0.006666666666666667
P1000,P1108,,-0.006666666666666667
P1000,P1109,-0.021124141684149264,-0.009459675396808042
P1000,P1111,-0.013719241215239542,-0.009459675396808042
P1000,P1112,-0.011179641181758961,-0.006666666666666667
P1000,P1114,-0.017781887844631156,-0.009459675396808042
P1000,P1119,-0.015873015873015876,-0.009459675396808042
P1000,P1120,0.1469679659078528,-0.011624763874381928
P1000,P1122,-0.017781887844631156,-0.013468700594029477
P1000,P1123,-0.017781887844631156,-0.009459675396808042
P1000,P1125,-0.011179641181758961,-0.006666666666666667
P1000,P1127,-0.02404930351219409,-0.011624763874381928
P1000,P1128,-0.019518001458970667,-0.009459675396808042
P1000,P1130,-0.019518001458970667,-0.009459675396808042
P1000,P1131,-0.019518001458970667,-0.009459675396808042
P1000,P1132,0.27895790470987064,-0.006666666666666667
P1000,P1133,-0.013719241215239542,-0.006666666666666667
P1000,P1134,,-0.006666666666666667
P1000,P1135,-0.019518001458970667,-0.009459675396808042
P1000,P1136,-0.007889684472185849,-0.006666666666666667
P1000,P1137,-0.022628141110071023,-0.011624763874381928
P1000,P1139,-0.013719241215239542,-0.006666666666666667
P1000,P1141,-0.015873015873015876,-0.006666666666666667
P1000,P1142,-0.017781887844631156,-0.011624763874381928
P1000,P1143,-0.013719241215239542,-0.009459675396808042
P1000,P1144,-0.017781887844631156,-0.009459675396808042
P1000,P1145,-0.015873015873015876,-0.013468700594029477
P1000,P1147,-0.015873015873015876,-0.009459675396808042
P1000,P1148,-0.019518001458970667,-0.009459675396808042
P1000,P1149,-0.007889684472185849,-0.006666666666666667
P1000,P1151,-0.015873015873015876,-0.006666666666666667
P1000,P1152,-0.02404930351219409,-0.011624763874381928
P1000,P1153,-0.017781887844631156,-0.009459675396808042
P1000,P1155,-0.02793993781135563,-0.013468700594029477
P1000,P1156,0.3465688766345278,-0.006666666666666667
P1000,P1157,-0.011179641181758961,-0.006666666666666667
P1000,P1158,-0.013719241215239542,-0.009459675396808042
P1000,P1159,-0.011179641181758961,-0.006666666666666667
P1000,P1161,-0.013719241215239542,-0.006666666666666667
P1000,P1162,-0.019518001458970667,-0.009459675396808042
P1000,P1163,-0.011179641181758961,-0.006666666666666667
P1000,P1164,-0.007889684472185849,-0.006666666666666667
P1000,P1165,-0.007889684472185849,-0.006666666666666667
P1000,P1166,-0.015873015873015876,-0.006666666666666667
P1000,P1168,0.27895790470987064,-0.006666666666666667
P1000,P1169,,-0.006666666666666667
P1000,P1170,-0.015873015873015876,-0.009459675396808042
P1000,P1171,-0.015873015873015876,-0.006666666666666667
P1000,P1172,-0.015873015873015876,-0.006666666666666667
P1000,P1177,-0.022628141110071023,-0.009459675396808042
P1000,P1178,0.2380952380952381,-0.006666666666666667
P1000,P1179,-0.013719241215239542,-0.006666666666666667
P1000,P1180,-0.017781887844631156,-0.009459675396808042
P1000,P1181,-0.007889684472185849,-0.006666666666666667
P1000,P1183,-0.015873015873015876,-0.006666666666666667
P1000,P1184,-0.017781887844631156,-0.009459675396808042
P1000,P1185,-0.017781887844631156,-0.009459675396808042
P1000,P1186,-0.007889684472185849,-0.006666666666666667
P1000,P1187,-0.011179641181758961,-0.006666666666666667
P1000,P1191,-0.019518001458970667,-0.009459675396808042
P1000,P1192,,-0.006666666666666667
P1000,P1193,-0.021124141684149264,-0.009459675396808042
P1000,P1194,-0.011179641181758961,-0.006666666666666667
P1000,P1195,-0.019518001458970667,-0.009459675396808042
P1000,P1196,-0.021124141684149264,-0.009459675396808042
P1000,P1197,-0.015873015873015876,-0.006666666666666667
P1000,P1198,-0.029140584906275673,-0.015109947130387488
P1000,P1199,-0.015873015873015876,-0.006666666666666667
