product1,product2,correlation
P1000,P1001,-0.012295081967213168
P1000,P1002,-0.014226319992544112
P1000,P1004,-0.010018383904546832
P1000,P1005,-0.017495760221829377
P1000,P1006,-0.01593833802996091
P1000,P1008,-0.015938338029960898
P1000,P1010,-0.02028671636384806
P1000,P1011,-0.018936909921553974
P1000,P1014,-0.015104838966911515
P1000,P1017,-0.01422631999254404
P1000,P1018,-0.007069654022425867
P1000,P1020,-0.012295081967213137
P1000,P1021,-0.014226319992544074
P1000,P1022,-0.012295081967213127
P1000,P1024,-0.015938338029960846
P1000,P1026,-0.014226319992544027
P1000,P1027,-0.010018383904546945
P1000,P1028,-0.01893690992155401
P1000,P1029,-0.014226319992544121
P1000,P1030,-0.015938338029960912
P1000,P1031,-0.012295081967213116
P1000,P1034,-0.020286716363848177
P1000,P1036,-0.014226319992544114
P1000,P1037,-0.015938338029960912
P1000,P1038,-0.014226319992544121
P1000,P1039,-0.014226319992544085
P1000,P1040,-0.02393900278633181
P1000,P1041,-0.01001838390454694
P1000,P1046,-0.012295081967213118
P1000,P1050,-0.018936909921553922
P1000,P1051,-0.014226319992544041
P1000,P1053,-0.010018383904546827
P1000,P1054,-0.012295081967213115
P1000,P1055,-0.021562469116277346
P1000,P1056,-0.014226319992544036
P1000,P1057,-0.01422631999254407
P1000,P1058,-0.015104838966911527
P1000,P1060,-0.014226319992544104
P1000,P1063,-0.01422631999254407
P1000,P1064,-0.010018383904546938
P1000,P1065,-0.017495760221829377
P1000,P1066,-0.012295081967213134
P1000,P1067,0.27859876652065274
P1000,P1068,-0.01893690992155394
P1000,P1072,-0.017495760221829457
P1000,P1073,-0.014226319992544072
P1000,P1076,-0.021562469116277353
P1000,P1077,-0.014226319992544053
P1000,P1078,-0.02277673878851448
P1000,P1081,0.13938889959715076
P1000,P1082,-0.012295081967213198
P1000,P1083,-0.02156246911627734
P1000,P1084,-0.01893690992155397
P1000,P1088,-0.01229508196721313
P1000,P1090,-0.007069654022425832
P1000,P1091,-0.014226319992544078
P1000,P1092,-0.018936909921553946
P1000,P1093,-0.010018383904546848
P1000,P1094,-0.010018383904546938
P1000,P1095,-0.015938338029960888
P1000,P1096,0.4024050868326309
