product1,product2,correlation
P1000,P1001,0.24606358202095222
P1000,P1003,-0.0147723219169241
P1000,P1005,0.42614934789302394
P1000,P1006,-0.014772321916924102
P1000,P1007,-0.012765957446808598
P1000,P1008,
P1000,P1009,-0.021072097724186927
P1000,P1010,-0.012765957446808586
P1000,P1013,-0.014772321916924102
P1000,P1015,-0.014772321916924154
P1000,P1016,-0.021072097724186955
P1000,P1017,-0.014772321916924165
P1000,P1019,-0.018170142319206595
P1000,P1020,-0.018170142319206654
P1000,P1021,-0.01728781562224774
P1000,P1022,-0.014772321916924144
P1000,P1027,-0.012765957446808581
P1000,P1028,-0.010401253773353322
P1000,P1029,-0.010401253773353429
P1000,P1031,-0.014772321916924043
P1000,P1033,-0.021072097724186903
P1000,P1034,-0.014772321916924094
P1000,P1035,-0.010401253773353318
P1000,P1036,0.17504467387076802
P1000,P1037,-0.024871965705170435
P1000,P1038,-0.018170142319206637
P1000,P1039,-0.014772321916924106
P1000,P1040,-0.012765957446808604
P1000,P1041,-0.012765957446808541
P1000,P1044,-0.014772321916924118
P1000,P1046,-0.014772321916924116
P1000,P1048,-0.027158583403452022
P1000,P1049,
P1000,P1051,-0.014772321916924054
P1000,P1052,-0.010401253773353398
P1000,P1054,-0.01477232191692408
P1000,P1055,-0.01817014231920666
P1000,P1056,0.22207951723474545
P1000,P1058,-0.010401253773353315
P1000,P1059,
P1000,P1061,0.6624113475177315
P1000,P1062,-0.0127659574468086
P1000,P1064,-0.01655136201934639
P1000,P1067,-0.022399081490572258
P1000,P1069,-0.01817014231920664
P1000,P1071,-0.014772321916924154
P1000,P1072,-0.018170142319206634
P1000,P1074,-0.016551362019346372
P1000,P1075,-0.014772321916924158
P1000,P1076,-0.014772321916924033
P1000,P1079,-0.02107209772418689
P1000,P1080,-0.012765957446808581
P1000,P1082,-0.012765957446808609
P1000,P1083,0.32482269503546096
P1000,P1085,-0.022399081490572143
P1000,P1086,-0.007339264224268089
P1000,P1087,-0.0127659574468086
P1000,P1090,-0.018170142319206637
P1000,P1092,-0.014772321916924168
P1000,P1093,-0.007339264224268065
P1000,P1095,-0.010401253773353396
P1000,P1096,-0.018170142319206585
P1000,P1097,-0.007339264224268134
P1000,P1098,-0.007339264224268086
P1000,P1099,-0.0147723219169241
P1000,P1101,-0.012765957446808538
P1000,P1102,-0.010401253773353358
P1000,P1103,-0.014772321916924139
P1000,P1104,
P1000,P1105,-0.010401253773353398
P1000,P1107,-0.021072097724186827
P1000,P1108,-0.0147723219169241
P1000,P1109,-0.014772321916924158
P1000,P1111,-0.01966843144121653
P1000,P1112,-0.02366242621401504
P1000,P1113,-0.021072097724186816
P1000,P1115,-0.0073392642242681
P1000,P1116,-0.007339264224268069
P1000,P1117,-0.007339264224268077
P1000,P1118,-0.012765957446808581
P1000,P1119,-0.01817014231920665
P1000,P1120,-0.012765957446808604
P1000,P1121,-0.010401253773353367
P1000,P1123,-0.014772321916924082
P1000,P1124,-0.01966843144121671
P1000,P1126,-0.01477232191692417
P1000,P1128,-0.012765957446808576
P1000,P1129,-0.01477232191692417
P1000,P1130,-0.018170142319206634
P1000,P1134,-0.012765957446808581
P1000,P1136,-0.007339264224268057
P1000,P1138,-0.012765957446808534
P1000,P1139,-0.0073392642242681
P1000,P1140,-0.012765957446808609
P1000,P1141,-0.012765957446808559
P1000,P1143,-0.014772321916924165
P1000,P1145,-0.007339264224268062
P1000,P1146,-0.012765957446808576
P1000,P1147,-0.01477232191692407
P1000,P1148,-0.016551362019346382
P1000,P1150,-0.0073392642242681135
P1000,P1152,-0.012765957446808598
P1000,P1153,-0.007339264224268074
P1000,P1154,-0.01276595744680855
P1000,P1157,-0.012765957446808564
P1000,P1158,-0.01477232191692413
P1000,P1159,-0.021072097724186865
P1000,P1160,-0.019668431441216737
P1000,P1163,0.24606358202095044
P1000,P1164,-0.010401253773353363
P1000,P1166,-0.014772321916924177
P1000,P1167,-0.01477232191692403
P1000,P1168,-0.01276595744680855
P1000,P1169,-0.024871965705170574
P1000,P1170,-0.014772321916924049
P1000,P1171,-0.007339264224268093
P1000,P1173,0.1878928713739996
P1000,P1175,-0.014772321916924054
P1000,P1176,-0.016551362019346365
P1000,P1177,-0.012765957446808581
P1000,P1178,-0.01276595744680858
P1000,P1181,
P1000,P1182,-0.010401253773353363
P1000,P1183,-0.012765957446808562
P1000,P1184,-0.019668431441216622
P1000,P1185,-0.007339264224268128
P1000,P1188,-0.014772321916924125
P1000,P1189,-0.010401253773353339
P1000,P1190,-0.019668431441216747
P1000,P1192,-0.010401253773353363
P1000,P1193,-0.02107209772418692
P1000,P1194,-0.012765957446808559
P1000,P1195,-0.021072097724186965
P1000,P1196,-0.012765957446808588
P1000,P1198,-0.019668431441216706
P1000,P1200,-0.014772321916924045
P1000,P1201,-0.016551362019346365
P1000,P1202,-0.01817014231920657
P1000,P1204,-0.014772321916924064
P1000,P1205,-0.0073392642242681395
P1000,P1206,-0.014772321916924151
P1000,P1208,-0.012765957446808559
P1000,P1209,-0.019668431441216563
P1000,P1210,-0.012765957446808581
P1000,P1212,-0.014772321916924075
P1000,P1213,-0.016551362019346358
P1000,P1217,-0.019668431441216626
P1000,P1219,-0.018170142319206634
P1000,P1222,-0.010401253773353372
P1000,P1223,0.3248226950354609
P1000,P1224,-0.014772321916924047
P1000,P1228,0.27821206276874155
P1000,P1229,-0.012765957446808569
P1000,P1232,-0.01817014231920663
P1000,P1233,-0.012765957446808583
P1000,P1235,-0.012765957446808588
P1000,P1237,-0.012765957446808586
P1000,P1239,-0.012765957446808592
P1000,P1240,-0.012765957446808569
P1000,P1241,-0.014772321916924104
P1000,P1242,-0.012765957446808604
P1000,P1243,-0.01655136201934641
P1000,P1244,-0.018170142319206637
P1000,P1246,-0.01477232191692407
P1000,P1247,-0.012765957446808574
P1000,P1248,-0.014772321916924095
P1000,P1249,-0.019668431441216567
P1000,P1251,0.1460871337865299
P1000,P1252,0.3724884292321123
P1000,P1254,-0.027158583403452022
P1000,P1255,-0.010401253773353387
P1000,P1256,-0.010401253773353367
P1000,P1257,-0.014772321916924045
P1000,P1258,-0.014772321916924118
P1000,P1259,-0.012765957446808546
P1000,P1263,-0.014772321916924173
P1000,P1264,-0.019668431441216543
P1000,P1265,-0.01477232191692407
P1000,P1266,-0.018170142319206627
P1000,P1269,-0.021522221148148214
P1000,P1270,-0.014772321916924045
P1000,P1272,-0.016551362019346372
P1000,P1275,-0.02107209772418688
P1000,P1278,-0.014772321916924071
P1000,P1279,-0.026035330773837215
P1000,P1280,-0.014772321916924095
P1000,P1281,-0.023662426214015028
P1000,P1285,-0.014772321916924163
P1000,P1288,-0.014772321916924023
P1000,P1290,-0.012765957446808515
P1000,P1292,-0.01477232191692408
P1000,P1293,-0.012765957446808598
P1000,P1295,-0.007339264224268077
P1000,P1297,-0.014772321916924023
P1000,P1300,-0.007339264224268104
P1000,P1301,-0.016551362019346393
P1000,P1302,-0.010401253773353348
P1000,P1303,-0.018170142319206627
P1000,P1304,-0.012765957446808578
P1000,P1305,-0.01477232191692412
P1000,P1308,-0.019668431441216584
P1000,P1309,-0.01817014231920664
P1000,P1311,-0.012765957446808604
P1000,P1312,-0.016551362019346406
P1000,P1313,-0.012765957446808598
P1000,P1315,-0.012765957446808595
P1000,P1316,-0.01477232191692415
P1000,P1318,-0.02824663414330161
P1000,P1319,-0.019668431441216504
P1000,P1320,-0.02366242621401503
P1000,P1321,-0.0073392642242680875
P1000,P1322,-0.014772321916924064
P1000,P1323,-0.01817014231920658
P1000,P1324,-0.014772321916924094
P1000,P1325,-0.014772321916924106
P1000,P1326,-0.010401253773353322
P1000,P1327,-0.012765957446808586
P1000,P1328,-0.007339264224268081
P1000,P1329,-0.01966843144121661
P1000,P1330,-0.014772321916924102
P1000,P1333,-0.012765957446808595
P1000,P1335,-0.018170142319206623
P1000,P1336,-0.012765957446808533
P1000,P1337,-0.012765957446808527
P1000,P1338,-0.012765957446808572
P1000,P1339,-0.018170142319206634
P1000,P1341,0.22207951723474328
P1000,P1342,-0.01477232191692415
P1000,P1346,-0.014772321916924059
P1000,P1348,-0.018170142319206627
P1000,P1349,-0.010401253773353361
P1000,P1351,-0.014772321916924125
P1000,P1352,-0.021072097724186847
P1000,P1353,-0.012765957446808562
P1000,P1355,-0.010401253773353322
P1000,P1357,-0.01817014231920664
P1000,P1358,-0.02107209772418678
P1001,P1003,-0.01915266041987798
P1001,P1005,0.4947112671774153
P1001,P1006,-0.01915266041987807
P1001,P1007,-0.01655136201934637
P1001,P1008,
P1001,P1009,-0.027320466905304947
P1001,P1010,-0.016551362019346365
P1001,P1013,-0.019152660419878075
P1001,P1015,-0.019152660419878093
P1001,P1016,-0.027320466905305013
P1001,P1017,-0.019152660419878058
P1001,P1019,-0.023558013938344932
P1001,P1020,-0.023558013938344936
P1001,P1021,-0.02241405676619003
P1001,P1022,-0.019152660419878096
P1001,P1027,-0.016551362019346372
P1001,P1028,-0.013485468471532638
P1001,P1029,-0.013485468471532773
P1001,P1031,-0.019152660419878075
P1001,P1033,-0.027320466905305003
P1001,P1034,-0.019152660419877978
P1001,P1035,-0.013485468471532702
P1001,P1036,-0.029040932354352008
P1001,P1037,0.10729484479309985
P1001,P1038,-0.02355801393834492
P1001,P1039,0.20876399857667077
P1001,P1040,-0.01655136201934637
P1001,P1041,-0.01655136201934637
P1001,P1044,-0.019152660419878086
P1001,P1046,-0.019152660419878
P1001,P1048,-0.035211737757713385
P1001,P1049,
P1001,P1051,-0.019152660419877995
P1001,P1052,-0.013485468471532733
P1001,P1054,-0.019152660419878027
P1001,P1055,-0.02355801393834494
P1001,P1056,-0.02355801393834495
P1001,P1058,-0.01348546847153271
P1001,P1059,
P1001,P1061,0.2460635820209522
P1001,P1062,-0.01655136201934637
P1001,P1064,-0.02145922746781121
P1001,P1067,-0.029040932354352025
P1001,P1069,-0.02355801393834492
P1001,P1071,-0.019152660419878082
P1001,P1072,-0.02355801393834495
P1001,P1074,0.18283261802575082
P1001,P1075,-0.01915266041987809
P1001,P1076,-0.019152660419877978
P1001,P1079,-0.027320466905304885
P1001,P1080,-0.016551362019346372
P1001,P1082,-0.01655136201934637
P1001,P1083,-0.016551362019346372
P1001,P1085,-0.02904093235435202
P1001,P1086,-0.009515527498634047
P1001,P1087,-0.01655136201934637
P1001,P1090,-0.023558013938344925
P1001,P1092,-0.01915266041987805
P1001,P1093,-0.009515527498634024
P1001,P1095,-0.013485468471532773
P1001,P1096,-0.02355801393834493
P1001,P1097,-0.00951552749863411
P1001,P1098,-0.009515527498634045
P1001,P1099,-0.0191526604198781
P1001,P1101,-0.016551362019346365
P1001,P1102,-0.013485468471532836
P1001,P1103,-0.01915266041987803
P1001,P1104,
P1001,P1105,-0.013485468471532732
P1001,P1107,-0.027320466905304912
P1001,P1108,-0.019152660419878047
P1001,P1109,-0.01915266041987803
P1001,P1111,-0.02550058078234105
P1001,P1112,-0.030678888297731743
P1001,P1113,-0.027320466905304944
P1001,P1115,-0.009515527498634062
P1001,P1116,-0.00951552749863403
P1001,P1117,-0.009515527498634036
P1001,P1118,-0.016551362019346365
P1001,P1119,-0.02355801393834494
P1001,P1120,-0.016551362019346375
P1001,P1121,-0.013485468471532777
P1001,P1123,-0.019152660419878106
P1001,P1124,-0.025500580782341145
P1001,P1126,-0.019152660419878124
P1001,P1128,-0.016551362019346365
P1001,P1129,-0.019152660419878106
P1001,P1130,-0.023558013938344915
P1001,P1134,-0.016551362019346365
P1001,P1136,-0.00951552749863401
P1001,P1138,-0.01655136201934637
P1001,P1139,-0.009515527498634062
P1001,P1140,-0.01655136201934637
P1001,P1141,-0.016551362019346365
P1001,P1143,-0.019152660419878065
P1001,P1145,-0.009515527498634019
P1001,P1146,-0.016551362019346365
P1001,P1147,-0.019152660419877995
P1001,P1148,-0.02145922746781119
P1001,P1150,-0.009515527498634081
P1001,P1152,-0.01655136201934637
P1001,P1153,-0.009515527498634033
P1001,P1154,-0.016551362019346365
P1001,P1157,-0.016551362019346372
P1001,P1158,-0.01915266041987805
P1001,P1159,-0.02732046690530484
P1001,P1160,-0.025500580782341128
P1001,P1163,-0.021459227467811284
P1001,P1164,-0.013485468471532706
P1001,P1166,-0.019152660419878034
P1001,P1167,-0.019152660419877985
P1001,P1168,-0.016551362019346365
P1001,P1169,-0.03224708450065844
P1001,P1170,-0.019152660419878054
P1001,P1171,-0.009515527498634052
P1001,P1173,0.4603498673543895
P1001,P1175,-0.019152660419878047
P1001,P1176,-0.021459227467811193
P1001,P1177,-0.016551362019346365
P1001,P1178,-0.01655136201934637
P1001,P1181,
P1001,P1182,-0.013485468471532794
P1001,P1183,-0.01655136201934637
P1001,P1184,-0.025500580782341045
P1001,P1185,-0.009515527498634102
P1001,P1188,0.20876399857667016
P1001,P1189,-0.013485468471532782
P1001,P1190,-0.025500580782341204
P1001,P1192,-0.013485468471532685
P1001,P1193,-0.027320466905305
P1001,P1194,-0.01655136201934637
P1001,P1195,-0.027320466905304954
P1001,P1196,-0.01655136201934637
P1001,P1198,-0.025500580782341103
P1001,P1200,-0.01915266041987802
