transaction_id,product_id,quantity,unit_price,total_price
T01052,P1000,1,356.06,356.06
T01370,P1000,1,356.06,356.06
T01573,P1000,1,356.06,356.06
T02798,P1000,1,356.06,356.06
T02869,P1000,1,356.06,356.06
T01824,P1000,2,356.06,712.12
T00529,P1000,3,356.06,1068.18
T00680,P1000,3,356.06,1068.18
T00975,P1000,3,356.06,1068.18
T02571,P1000,3,356.06,1068.18
T02596,P1000,3,356.06,1068.18
T00690,P1000,4,356.06,1424.24
T00898,P1000,4,356.06,1424.24
T01483,P1000,4,356.06,1424.24
T01789,P1000,4,356.06,1424.24
T01925,P1000,4,356.06,1424.24
T02352,P1000,4,356.06,1424.24
T00455,P1001,1,396.45,396.45
T00992,P1001,1,396.45,396.45
T01107,P1001,1,396.45,396.45
T01583,P1001,1,396.45,396.45
T02061,P1001,1,396.45,396.45
T02210,P1001,1,396.45,396.45
T00081,P1001,2,396.45,792.9
T00879,P1001,2,396.45,792.9
T00995,P1001,2,396.45,792.9
T01189,P1001,2,396.45,792.9
T01246,P1001,2,396.45,792.9
T01338,P1001,2,396.45,792.9
T01606,P1001,2,396.45,792.9
T02306,P1001,2,396.45,792.9
T02941,P1001,2,396.45,792.9
T00199,P1001,3,396.45,1189.35
T00230,P1001,3,396.45,1189.35
T00897,P1001,3,396.45,1189.35
T01476,P1001,3,396.45,1189.35
T01643,P1001,3,396.45,1189.35
T02123,P1001,3,396.45,1189.35
T02161,P1001,3,396.45,1189.35
T02634,P1001,3,396.45,1189.35
T02674,P1001,3,396.45,1189.35
T00380,P1001,4,396.45,1585.8
T01978,P1001,4,396.45,1585.8
T02420,P1001,4,396.45,1585.8
T02939,P1001,4,396.45,1585.8
T00310,P1002,1,107.59,107.59
T00656,P1002,1,107.59,107.59
T00778,P1002,1,107.59,107.59
T01511,P1002,1,107.59,107.59
T01755,P1002,1,107.59,107.59
T00009,P1002,2,107.59,215.18
T00562,P1002,2,107.59,215.18
T01158,P1002,2,107.59,215.18
T01184,P1002,2,107.59,215.18
T01812,P1002,2,107.59,215.18
T01896,P1002,2,107.59,215.18
T01969,P1002,2,107.59,215.18
T02048,P1002,2,107.59,215.18
T02201,P1002,2,107.59,215.18
T02328,P1002,2,107.59,215.18
T00590,P1002,3,107.59,322.77
T00699,P1002,3,107.59,322.77
T00828,P1002,3,107.59,322.77
T00975,P1002,3,107.59,322.77
T01381,P1002,3,107.59,322.77
T02191,P1002,3,107.59,322.77
