product_id1,product_id2,attribute_score,transaction_score,substitute_score,substitutability_category,optimal_threshold
P0017,P0111,0.681568310428456,0.742153234224926,0.705802279947044,No,0.79
P0111,P0149,0.6402058329705864,0.7465696631664616,0.6827513650489365,No,0.79
P0100,P0111,0.6826834981240802,0.2351065340204509,0.5036527124826286,No,0.79
P0111,P0173,0.6831125759177499,0.7457869336948759,0.7081823190286003,No,0.79
P0037,P0111,0.8453651306925358,0.7457869841948606,0.8055338720934657,Yes,0.79
P0111,P0167,0.671792798955289,0.7475810183237528,0.7021080867026745,No,0.79
P0089,P0111,0.8179580457268413,0.7430220840814694,0.7879836610686926,No,0.79
P0041,P0111,0.6805816387869743,0.746569646333131,0.706976841805437,No,0.79
P0077,P0111,0.6451101714238335,0.7465695958331464,0.6856939411875587,No,0.79
P0061,P0111,0.6601869701303817,0.9999997990000408,0.7961121016782453,Yes,0.79
P0111,P0168,0.6320595734096139,0.7465695958331464,0.6778635823790269,No,0.79
P0111,P0122,0.7919221441452646,0.7439913777386677,0.7727498375826258,No,0.79
P0111,P0165,0.6156468295918579,0.7445304093464391,0.6672002614936904,No,0.79
P0111,P0129,0.6586717243952491,0.7439913524886717,0.6927995756326182,No,0.79
P0111,P0112,0.22598200775242,0.7445303925131086,0.4334013616566954,No,0.79
P0039,P0111,0.1188887506995833,0.7439913693220022,0.3689297981485509,No,0.79
P0111,P0150,0.0730530854217192,0.7457869336948759,0.3421466247309819,No,0.79
P0029,P0111,0.1326420413324213,0.7434914316579915,0.3769817974626493,No,0.79
P0111,P0118,0.1445173393031113,0.746569646333131,0.3853382621151192,No,0.79
P0111,P0171,0.1355626723047903,0.7475810183237528,0.3803700107123753,No,0.79
P0091,P0111,0.232125904276268,0.7445303925131086,0.4370876995710042,No,0.79
P0090,P0111,0.3542254834898327,0.7451215903285828,0.5105839262253328,No,0.79
P0111,P0177,0.0810086437410608,0.7434914232413259,0.3460017555411668,No,0.79
P0111,P0160,0.0686192815538005,0.7445303925131086,0.3389837259375238,No,0.79
P0084,P0111,0.0963341831975623,0.7475810688237374,0.3568329374480324,No,0.79
P0111,P0120,0.095653255394565,0.7451215903285828,0.3554405893681721,No,0.79
P0101,P0111,0.0646124826399685,0.7430220840814694,0.3359763232165689,No,0.79
P0036,P0111,0.0488506104512571,0.7417462100576252,0.3260088502938044,No,0.79
P0111,P0175,0.3708911137367079,0.7457869841948606,0.520849461919969,No,0.79
P0111,P0184,0.2160406691126173,0.8305169150729019,0.4618311674967312,No,0.79
P0111,P0179,0.2982173579586676,0.7409742576475965,0.4753201178342391,No,0.79
P0111,P0136,0.0536305785295276,0.7430220756648037,0.329387177383638,No,0.79
P0048,P0111,0.1183622494455154,0.7434914232413259,0.3684139189638395,No,0.79
