product_id1,product_id2,attribute_score,transaction_score,substitute_score,substitutability_category,optimal_threshold
P0014,P0111,0.6246284435047572,0.7475810864904011,0.6738095006990148,No,0.79
P0017,P0111,0.681568310428456,0.7956486188755141,0.7272004338072793,No,0.79
P0111,P0149,0.6402058329705864,0.745121624245245,0.6821721494804498,No,0.79
P0100,P0111,0.6826834981240802,0.742577460950204,0.7066410832545298,No,0.79
P0111,P0173,0.6831125759177499,0.7848258538921549,0.7237978871075119,No,0.79
P0037,P0111,0.8453651306925358,0.7465696639997947,0.8058469440154394,Yes,0.79
P0111,P0167,0.671792798955289,0.7445304264297707,0.7008878499450817,No,0.79
P0089,P0111,0.8179580457268413,0.7457870181115227,0.7890896346807138,No,0.79
P0041,P0111,0.6805816387869743,0.7430221008731349,0.7055578236214386,No,0.79
P0077,P0111,0.6451101714238335,0.7465696639997947,0.685693968454218,No,0.79
P0061,P0111,0.6601869701303817,0.7465696639997947,0.6947400476781469,No,0.79
P0111,P0168,0.6320595734096139,0.743491450074657,0.6766323240756311,No,0.79
P0111,P0122,0.7919221441452646,0.2261948727998639,0.5656312356071044,No,0.79
P0111,P0165,0.6156468295918579,0.7433175892582266,0.6667151334584054,No,0.79
P0111,P0129,0.6586717243952491,0.742153247591592,0.6920643336737862,No,0.79
P0111,P0112,0.22598200775242,0.7430220981648017,0.4327980439173727,No,0.79
P0039,P0111,0.1188887506995833,0.7457870181115227,0.3696480576643591,No,0.79
P0111,P0150,0.0730530854217192,0.745121624245245,0.3418805009511295,No,0.79
P0029,P0111,0.1326420413324213,0.7434914484496571,0.3769818041793156,No,0.79
P0111,P0118,0.1445173393031113,0.7417462284742908,0.3834088949715831,No,0.79
P0111,P0171,0.1355626723047903,0.7475811081570659,0.3803700466457005,No,0.79
P0091,P0111,0.232125904276268,0.745121624245245,0.4373241922638589,No,0.79
P0090,P0111,0.3542254834898327,0.7430221008731349,0.5097441304431536,No,0.79
P0111,P0177,0.0810086437410608,0.8105317459911402,0.3728178846410926,No,0.79
P0111,P0160,0.0686192815538005,0.7457870018615242,0.33948636967689,No,0.79
P0084,P0111,0.0963341831975623,0.7430220981648017,0.3550093491844581,No,0.79
P0111,P0120,0.095653255394565,0.7475810864904011,0.3564243878328995,No,0.79
P0101,P0111,0.0646124826399685,0.745121624245245,0.3368161392820791,No,0.79
P0036,P0111,0.0488506104512571,0.7457870181115227,0.3276251735153633,No,0.79
P0111,P0175,0.3708911137367079,0.745121624245245,0.5205833179401228,No,0.79
P0111,P0184,0.2160406691126173,0.7425774582418708,0.4266553847643187,No,0.79
P0111,P0179,0.2982173579586676,0.741746229557624,0.4756289065982502,No,0.79
P0093,P0111,0.0499533611093837,0.7457870181115227,0.3282868239102393,No,0.79
P0079,P0111,0.0675414049706693,0.9999999353333376,0.4405248171157366,No,0.79
P0068,P0111,0.1238117447090769,0.7425774582418708,0.3713180301221945,No,0.79
P0026,P0111,0.2993677839272018,0.7430221024981349,0.4768295113555751,No,0.79
P0111,P0127,0.1039228489107228,0.7439913864053338,0.3599502639085672,No,0.79
P0031,P0111,0.089733225545675,0.7434914457413238,0.3512365136239345,No,0.79
P0074,P0111,0.078378210310304,0.782081127179984,0.359859377058176,No,0.79
P0066,P0111,0.131603548701366,0.7445304264297707,0.3767742997927279,No,0.79
P0058,P0111,0.0776547892958564,0.7465696639997947,0.3452207391774317,No,0.79
P0111,P0158,0.1322523474908277,0.7804391656916546,0.3915270747711585,No,0.79
P0080,P0111,0.0894430280040627,0.7465696639997947,0.3522936824023555,No,0.79
P0111,P0186,0.1129998134444375,0.745121624245245,0.3658485377647605,No,0.79
P0053,P0111,0.0530004352963124,0.8305169832395503,0.3640070544736076,No,0.79
P0064,P0111,0.1171226913749144,0.7457870018615242,0.3685884155695584,No,0.79
P0111,P0197,0.0707418692867359,0.7439913864053338,0.3400416761341751,No,0.79
P0062,P0111,0.091418444126609,0.7457870235281889,0.353165875887241,No,0.79
P0052,P0111,0.0980038554816242,0.7439913918220001,0.3563988700177746,No,0.79
P0078,P0111,0.0572207366871877,0.7451216296619113,0.3323810938770772,No,0.79
P0111,P0181,0.0975011918827602,0.7465696802497932,0.3571285872295734,No,0.79
P0019,P0111,0.0882076156126277,0.9999999353333376,0.4529245435009117,No,0.79
P0095,P0111,0.1340287710134112,0.7465696639997947,0.3790451282079646,No,0.79
P0070,P0111,0.1086468503202537,0.745121624245245,0.3632367598902503,No,0.79
P0111,P0180,0.2670211222353502,0.7439913864053338,0.4578092279033436,No,0.79
P0007,P0111,0.0692577161453475,0.7430220981648017,0.3387634689531292,No,0.79
P0092,P0111,0.3895756897373712,0.745121624245245,0.5317940635405207,No,0.79
P0073,P0111,0.2349346019111581,0.7923374123514613,0.4578957260872793,No,0.79
P0108,P0111,0.0775262732417138,0.745121624245245,0.3445644136431263,No,0.79
P0111,P0164,0.3890927181145451,0.7424449274948939,0.5304336018666846,No,0.79
P0082,P0111,0.1353574611860788,0.7457870181115227,0.3795292839562563,No,0.79
P0104,P0111,0.1426372738013805,0.7434914457413238,0.3829789425773578,No,0.79
