ProductID1,ProductID2,AttributeScore
P1000,P1001,0.6666467460742694
P1000,P1002,0.7524069570951655
P1000,P1003,0.6814882743271649
P1000,P1004,0.6805238428883486
P1000,P1005,0.7307154927255493
P1000,P1006,0.6528438362939455
P1000,P1007,0.8321188641140832
P1000,P1008,0.7535032765939909
P1000,P1009,0.6589354160656143
P1000,P1010,0.7418806413056919
P1000,P1011,0.6515538062069819
P1000,P1012,0.6659419692535961
P1000,P1013,0.93403536248609
P1000,P1014,0.701489922927915
P1000,P1015,0.6953942216543709
P1000,P1016,0.7076309607220872
P1000,P1017,0.6923937682891645
P1000,P1018,0.727818076907225
P1000,P1019,0.702858261550509
P1000,P1020,0.5614227424473478
P1000,P1021,0.5655030293038783
P1000,P1022,0.5548819189712731
P1000,P1023,0.5743148003132341
P1000,P1024,0.6291719902732555
P1000,P1025,0.5301364217120719
P1000,P1026,0.6750917034167251
P1000,P1027,0.5680913324815563
P1000,P1028,0.548538927585212
P1000,P1029,0.5893253101430161
P1000,P1030,0.5394839879652146
P1000,P1031,0.5800519309236286
P1000,P1032,0.6727506903515641
P1000,P1033,0.5098050529612991
P1000,P1034,0.6772472488974983
P1000,P1035,0.5256233771586366
P1000,P1036,0.5207393974364258
P1000,P1037,0.5003173556443968
P1000,P1038,0.6028685653051973
P1000,P1039,0.6573610023492561
P1000,P1040,0.5540287680830894
P1000,P1041,0.5691835304785063
P1000,P1042,0.6094670898075258
P1000,P1043,0.6950768660099741
P1000,P1044,0.5873387462391295
P1000,P1045,0.5713225899517784
P1000,P1046,0.6281416148044348
P1000,P1047,0.6273873799612579
P1000,P1048,0.5281951943288135
P1000,P1049,0.5518855871079421
P1000,P1050,0.6583954993199522
P1000,P1051,0.624494085644809
P1000,P1052,0.5451098380249763
P1000,P1053,0.5704488315542183
P1000,P1054,0.5519803816510737
P1000,P1055,0.6357499072662078
P1000,P1056,0.5234801961834893
P1000,P1057,0.5339817829617113
P1000,P1058,0.5144334995672423
P1000,P1059,0.6808741705477477
P1000,P1060,0.13870502411078597
P1000,P1061,0.054403824753740275
P1000,P1062,0.04926843341713721
P1000,P1063,0.0926719696657462
P1000,P1064,0.10112929151382764
P1000,P1065,0.04611136298067017
P1000,P1066,0.012343898116473628
P1000,P1067,0.12247042822404486
P1000,P1068,0.002299798046408097
P1000,P1069,0.11986976054074105
P1000,P1070,0.051308576845402465
P1000,P1071,0.016230474384865846
P1000,P1072,0.03872563162016238
P1000,P1073,0.0012653010757119887
P1000,P1074,0.10593496270040803
P1000,P1075,0.04982895767217576
P1000,P1076,0.02643943452994271
P1000,P1077,0.051642418497300425
P1000,P1078,0.012475786176482706
P1000,P1079,0.0729176111775131
P1000,P1080,0.08489057412521124
P1000,P1081,0.0008696368956848
P1000,P1082,0.00998227754193628
P1000,P1083,0.003021060874582693
P1000,P1084,0.03386638090920333
P1000,P1085,0.1261715369080493
P1000,P1086,0.007830853563038365
P1000,P1087,0.0919836788525739
P1000,P1088,0.07728228166343817
P1000,P1089,0.04626385855005564
P1000,P1090,0.0901496105180728
P1000,P1091,0.11440052755224005
P1000,P1092,0.10556814903350782
P1000,P1093,0.04963524708403744
P1000,P1094,0.07842805918476695
P1000,P1095,0.09256893211886413
P1000,P1096,0.020623995383917904
P1000,P1097,0.012146066026460024
P1000,P1098,0.038869884185797315
P1000,P1099,0.08135020401434284
P1000,P1100,0.05697976342579234
P1000,P1101,0.08286691670444712
P1000,P1102,0.05969171165972882
P1000,P1103,0.09614639574661009
P1000,P1104,0.03356138977043235
P1000,P1105,0.08110291390182583
P1000,P1106,0.0460000824300375
P1000,P1107,0.0026089106870543556
P1000,P1108,0.05714050199892843
P1000,P1109,0.05254914890986276
P1000,P1110,0.05071920207723695
P1000,P1111,0.05437085273873802
P1000,P1112,0.023459588674112866
P1000,P1113,0.11719902732555745
P1000,P1114,0.046663644231958123
P1000,P1115,0.10773193751803159
P1000,P1116,0.054094712113094
P1000,P1117,0.07018505543420023
P1000,P1118,0.07023863495857893
P1000,P1119,0.04266166591105798
P1000,P1120,0.05207517619420518
P1000,P1121,0.11245105716523103
P1000,P1122,0.12551209660800397
P1000,P1123,0.008576845402464662
P1000,P1124,0.012356262622099502
P1000,P1125,0.05360425338993529
P1000,P1126,0.03478135432551621
P1000,P1127,0.06955446564728188
P1000,P1128,0.12878869059885423
P1000,P1129,0.04474302435807609
P1000,P1130,0.02420558051353914
P1000,P1131,0.05838519556526398
P1000,P1132,0.056889090384536135
P1000,P1133,0.07865474178790753
P1000,P1134,0.08425174133454233
P1000,P1135,0.051873222602316305
P1000,P1136,0.12688867823434863
P1000,P1137,0.08596216461278491
P1000,P1138,0.04598359642253638
P1000,P1139,0.06385855005564028
P1000,P1140,0.06704859250710961
P1000,P1141,0.13505749495116023
P1000,P1142,0.06905988542224788
P1000,P1143,0.02060750937641678
P1000,P1144,0.12833532539257306
P1000,P1145,0.12284136339282035
P1000,P1146,0.006215224827927291
P1000,P1147,0.11276841280962785
P1000,P1148,0.044318509664921915
P1000,P1149,0.0593248979928286
P1000,P1150,0.05035238841033675
P1000,P1151,0.1386967811070354
P1000,P1152,0.08315542183571695
P1000,P1153,0.11542266001731033
P1000,P1154,0.11010592259819481
P1000,P1155,0.045118081028726886
P1000,P1156,0.10744343238676174
P1000,P1157,0.03983431562461359
P1000,P1158,0.10444710052343074
P1000,P1159,0.03267526686724642
P1000,P1160,0.08696781107035405
P1000,P1161,0.02350080369286567
P1000,P1162,0.012108972509582495
P1000,P1163,0.04751267361826648
P1000,P1164,0.04498619296871781
P1000,P1165,0.027634670073774893
P1000,P1166,0.11848081440877056
P1000,P1167,0.05386390800807816
P1000,P1168,0.12211597906277048
P1000,P1169,0.028698017557597977
P1000,P1170,0.13651238511313524
P1000,P1171,0.030631001937105884
P1000,P1172,0.038944071219552415
P1000,P1173,0.03066397395210814
P1000,P1174,0.04252153484729837
P1000,P1175,0.010526315789473696
P1000,P1176,0.05592465894571983
P1000,P1177,0.005304372913489686
P1000,P1178,0.037270741458187366
P1000,P1179,0.05536001318880601
P1000,P1180,0.07012735440794626
P1000,P1181,0.028570250999464197
P1000,P1182,0.1098339034744261
P1000,P1183,0.07760375880971027
P1000,P1184,0.06169888307299181
