store_id,product_id,stock_date,stock_level
STR001,PRD0017,2025-09-02,0
STR001,PRD0055,2025-09-02,0
STR002,PRD0036,2025-09-02,0
STR002,PRD0060,2025-09-02,0
STR002,PRD0117,2025-09-02,0
STR003,PRD0018,2025-09-02,0
STR003,PRD0044,2025-09-02,0
STR003,PRD0069,2025-09-02,0
STR003,PRD0114,2025-09-02,0
STR004,PRD0047,2025-09-02,0
STR004,PRD0054,2025-09-02,0
STR004,PRD0071,2025-09-02,0
STR005,PRD0014,2025-09-02,0
STR005,PRD0021,2025-09-02,0
STR006,PRD0003,2025-09-02,0
STR006,PRD0073,2025-09-02,0
STR006,PRD0120,2025-09-02,0
STR007,PRD0097,2025-09-02,0
STR007,PRD0120,2025-09-02,0
STR008,PRD0009,2025-09-02,0
STR008,PRD0091,2025-09-02,0
STR009,PRD0102,2025-09-02,0
STR010,PRD0019,2025-09-02,0
STR010,PRD0076,2025-09-02,0
STR010,PRD0088,2025-09-02,0
STR010,PRD0101,2025-09-02,0
STR010,PRD0119,2025-09-02,0
STR011,PRD0048,2025-09-02,0
STR012,PRD0022,2025-09-02,0
STR012,PRD0115,2025-09-02,0
STR013,PRD0056,2025-09-02,0
STR013,PRD0057,2025-09-02,0
STR013,PRD0085,2025-09-02,0
STR015,PRD0029,2025-09-02,0
STR015,PRD0107,2025-09-02,0
STR001,PRD0001,2025-09-02,1
STR001,PRD0036,2025-09-02,1
STR002,PRD0074,2025-09-02,1
STR002,PRD0086,2025-09-02,1
STR002,PRD0103,2025-09-02,1
STR003,PRD0033,2025-09-02,1
STR003,PRD0055,2025-09-02,1
STR004,PRD0079,2025-09-02,1
STR005,PRD0057,2025-09-02,1
STR005,PRD0058,2025-09-02,1
STR005,PRD0072,2025-09-02,1
STR005,PRD0082,2025-09-02,1
STR006,PRD0057,2025-09-02,1
STR006,PRD0077,2025-09-02,1
STR007,PRD0007,2025-09-02,1
STR007,PRD0029,2025-09-02,1
STR007,PRD0065,2025-09-02,1
STR008,PRD0060,2025-09-02,1
STR008,PRD0108,2025-09-02,1
STR009,PRD0003,2025-09-02,1
STR009,PRD0034,2025-09-02,1
STR009,PRD0115,2025-09-02,1
STR010,PRD0006,2025-09-02,1
STR010,PRD0042,2025-09-02,1
STR011,PRD0012,2025-09-02,1
STR011,PRD0047,2025-09-02,1
STR011,PRD0105,2025-09-02,1
STR012,PRD0090,2025-09-02,1
STR014,PRD0045,2025-09-02,1
STR014,PRD0058,2025-09-02,1
STR014,PRD0083,2025-09-02,1
STR014,PRD0113,2025-09-02,1
STR015,PRD0014,2025-09-02,1
STR015,PRD0052,2025-09-02,1
STR015,PRD0053,2025-09-02,1
STR015,PRD0077,2025-09-02,1
STR001,PRD0081,2025-09-02,2
STR002,PRD0015,2025-09-02,2
STR002,PRD0073,2025-09-02,2
STR002,PRD0082,2025-09-02,2
STR002,PRD0119,2025-09-02,2
STR004,PRD0005,2025-09-02,2
STR004,PRD0046,2025-09-02,2
STR005,PRD0083,2025-09-02,2
STR006,PRD0013,2025-09-02,2
STR007,PRD0001,2025-09-02,2
STR007,PRD0096,2025-09-02,2
STR008,PRD0013,2025-09-02,2
STR008,PRD0030,2025-09-02,2
STR008,PRD0090,2025-09-02,2
STR008,PRD0113,2025-09-02,2
STR010,PRD0003,2025-09-02,2
STR010,PRD0058,2025-09-02,2
STR010,PRD0092,2025-09-02,2
STR011,PRD0004,2025-09-02,2
STR011,PRD0039,2025-09-02,2
STR011,PRD0075,2025-09-02,2
STR011,PRD0076,2025-09-02,2
