transaction_id,transaction_date,store_id,customer_id,product_id,quantity,unit_price,total_price
TRX000069,2025-09-02,STR013,CUST0009,PRD0012,1,12900.0,12900.0
TRX000300,2025-01-04,STR002,CUST0356,PRD0012,1,12900.0,12900.0
TRX000401,2025-02-21,STR008,CUST0035,PRD0012,1,12900.0,12900.0
TRX000410,2025-01-09,STR013,CUST0091,PRD0012,1,12900.0,12900.0
TRX000694,2025-06-01,STR015,CUST0336,PRD0012,1,12900.0,12900.0
TRX000801,2025-04-10,STR006,CUST0343,PRD0012,1,12900.0,12900.0
TRX001055,2025-07-15,STR008,CUST0354,PRD0012,1,12900.0,12900.0
TRX001125,2025-07-29,STR012,CUST0170,PRD0012,1,12900.0,12900.0
TRX001196,2024-10-17,STR010,CUST0227,PRD0012,1,12900.0,12900.0
TRX001455,2025-02-07,STR015,CUST0362,PRD0012,1,12900.0,12900.0
TRX001629,2024-11-17,STR004,CUST0041,PRD0012,1,12900.0,12900.0
TRX001660,2025-08-31,STR008,CUST0015,PRD0012,1,12900.0,12900.0
TRX001709,2025-08-28,STR011,CUST0303,PRD0012,1,12900.0,12900.0
TRX001739,2024-10-17,STR008,CUST0388,PRD0012,1,12900.0,12900.0
TRX001743,2025-06-13,STR010,CUST0189,PRD0012,1,12900.0,12900.0
TRX001874,2024-12-02,STR004,CUST0337,PRD0012,1,12900.0,12900.0
TRX001888,2025-02-27,STR007,CUST0084,PRD0012,1,12900.0,12900.0
TRX002051,2024-10-16,STR009,CUST0346,PRD0012,1,12900.0,12900.0
TRX002188,2025-02-04,STR012,CUST0121,PRD0012,1,12900.0,12900.0
TRX002198,2024-11-29,STR003,CUST0345,PRD0012,1,12900.0,12900.0
TRX002502,2024-09-05,STR005,CUST0065,PRD0012,1,12900.0,12900.0
TRX002532,2025-06-18,STR004,CUST0059,PRD0012,1,12900.0,12900.0
TRX002635,2024-09-10,STR011,CUST0130,PRD0012,1,12900.0,12900.0
TRX002717,2025-06-29,STR011,CUST0343,PRD0012,1,12900.0,12900.0
TRX002730,2025-01-30,STR012,CUST0216,PRD0012,1,12900.0,12900.0
TRX002849,2024-09-17,STR010,CUST0068,PRD0012,1,12900.0,12900.0
TRX000253,2025-01-08,STR006,CUST0071,PRD0012,2,12900.0,25800.0
TRX000594,2025-05-17,STR012,CUST0307,PRD0012,2,12900.0,25800.0
TRX000790,2025-02-12,STR001,CUST0037,PRD0012,2,12900.0,25800.0
TRX000999,2024-09-05,STR012,CUST0386,PRD0012,2,12900.0,25800.0
TRX001206,2024-11-28,STR009,CUST0075,PRD0012,2,12900.0,25800.0
TRX001230,2025-03-22,STR010,CUST0186,PRD0012,2,12900.0,25800.0
TRX001512,2025-02-26,STR010,CUST0130,PRD0012,2,12900.0,25800.0
TRX001582,2025-05-20,STR006,CUST0233,PRD0012,2,12900.0,25800.0
TRX001909,2025-06-21,STR008,CUST0040,PRD0012,2,12900.0,25800.0
